"","PC1","PC2","PC3","PC4"
"scale.bill.log.log.b10k.b10k.bill_nares...center...TRUE..scale...TRUE.",-0.916442498228358,-0.371427488774517,0.00104681208619801,0.148908267762671
"scale.bill.log.log.b10k.b10k.bill_depth...center...TRUE..scale...TRUE.",-0.885620653954718,0.371109553700719,-0.279148341061119,-0.00547358417267176
"scale.bill.log.log.b10k.b10k.bill_total_culmen...center...TRUE..",-0.911930506287651,-0.382806790649362,0.0163130367210101,-0.146886342345443
"scale.bill.log.log.b10k.b10k.bill_width...center...TRUE..scale...TRUE.",-0.870296460183312,0.414597619318313,0.265867837027232,0.0026793063372123
