"","PC1","PC2","PC3","PC4","PC5","PC6"
"scale.traits_log.log.traits.No_of_Note_Types...center...TRUE..",-0.739176599389244,-0.0776252545037016,0.528620377082141,0.407426841557772,0.0278377711513679,-0.0371644855702854
"scale.traits_log.log.traits.Note.Count...center...TRUE..scale...TRUE.",-0.952956757819805,0.00917845226577141,-0.130934402787832,-0.0170374868102125,0.0844486984777783,0.259274945327861
"scale.traits_log.log.traits.Song.Duration...center...TRUE..scale...TRUE.",-0.879903935214402,0.0618526134039086,-0.107621291407093,-0.238276754644398,0.361062023494048,-0.152379066907841
"scale.traits.No_notes_in_call_bout.song..center...TRUE..scale...TRUE.",-0.819555515603011,0.0250889342766011,-0.408267970368387,0.222384112765577,-0.319331068110264,-0.0979262065120944
"scale.traits.Song.Bandwidth..center...TRUE..scale...TRUE.",-0.392253862471199,-0.789779833437909,0.189986715127377,-0.377853599856773,-0.208309994562894,-0.011107357327805
"scale.traits.Note_Peak_Freq_Average..center...TRUE..scale...TRUE.",0.346880627247346,-0.817111533585771,-0.256003495863987,0.315109373628698,0.217172531981972,0.00263746675522902
