"","PC1","PC2","PC3","PC4"
"Eudromia_elegans",0.671734137777309,0.364803577579085,-0.313521848050838,0.504164817078905
"Nothoprocta_pentlandii",1.02257480097155,-2.33149304563341,-2.57358451956635,1.18505533708866
"Nothocercus_julius",2.64495437821366,-0.849162753793553,0.290704959255507,-2.81714173317693
"Tinamus_guttatus",-1.65101448984247,1.11126016770403,0.692284029344883,-0.816344129602724
"Crypturellus_cinnamomeus",-1.08508987610756,1.14892600707888,-0.371353803794905,1.04702590105775
"Crypturellus_soui",-3.25001544880396,-1.37521553836476,1.34511114291449,-1.01418576616376
"Apteryx_mantelli",1.99433549108506,-1.04604944417141,1.38385950216941,-1.53816237642724
"Apteryx_australis",-1.78595793093316,-0.640315128424601,-0.158292534829011,0.150429437545171
"Apteryx_owenii",0.909282085412391,-0.609763295789372,-0.604120912642094,-2.21197709114923
"Apteryx_haastii",3.71804800577945,1.06437443990554,-0.689281966550843,0.82492344997329
"Dromaius_novaehollandiae",-1.72381855581172,0.772207816185823,-0.188396251077578,0.661502528604908
"Casuarius_casuarius",-0.210763495870421,1.23338106195725,0.58610194185193,-0.22378870644258
"Rhea_americana",-1.55885251194407,1.7222784013643,0.233468143549994,0.0982678411783339
"Rhea_pennata",-3.4291209171316,-0.404997098051349,2.12499978888486,-1.78666574560389
"Struthio_camelus",-1.15608215104076,0.672537377495974,2.12735675186705,-0.543666603275559
"Anseranas_semipalmata",1.37021814379618,-0.777387315086021,-1.48734854446752,1.28628776034428
"Anser_cygnoides",-0.791310449672033,-1.69951454675553,-1.21769897331712,0.420798212829094
"Anas_platyrhynchos",-1.02740182247552,-1.07361329538941,-0.95709848155688,0.481777334912761
"Anas_poecilorhyncha",1.43404250705136,-1.31604632242895,-1.8104518238521,-1.00706337128388
"Cairina_scutulata",-2.07023598134395,0.35161212548489,0.16131118250555,0.303487516097218
"Cairina_moschata",-0.480185627346261,-0.884380103216688,-1.52110597588341,0.888514985510982
"Chauna_torquata",0.742667579452065,0.0230103112515898,-0.321801362609863,1.22581404239911
"Odontophorus_gujanensis",3.07106280666315,0.833674710670181,1.17631357801805,-1.45584617968004
"Colinus_virginianus",0.48220617568464,-2.13348028630616,-1.85474030135435,-0.128031187559485
"Callipepla_squamata",0.771027838450401,-0.981159460836537,-0.375773740794638,0.908021144024352
"Gallus_sonneratii",1.54360685019756,-0.4752889857674,0.347440486557581,0.703741750980152
"Coturnix_japonica",2.01657392322449,-1.29072151956842,-0.926515861363913,1.06639729119889
"Meleagris_gallopavo",3.3708144368949,-0.32508033273653,-1.76806642490826,0.088008643302099
"Tympanuchus_cupido",-0.861424443794611,0.715688598378871,1.51190591641941,0.191490963454055
"Phasianus_colchicus",1.1063632257299,-1.45016550635938,-0.73567259807805,0.961773559574567
"Numida_meleagris",0.910459445397946,0.526765398690217,-0.0122978276181558,1.35817939050582
"Penelope_pileata",0.140037022048398,0.135670602992678,-1.57060162409375,0.634439009463666
"Alectura_lathami",0.415207382068152,1.03211024421437,-0.419388548371399,0.112862357693652
"Pterocles_gutturalis",3.61629038130265,-2.9924695380035,-0.750038918552326,0.971421998022862
"Pterocles_burchelli",-0.752126329461125,-1.0163581811066,-1.24174650903818,0.673706545352476
"Syrrhaptes_paradoxus",2.71284800312307,-0.403356193716175,-1.00188642588413,0.42186120127258
"Caloenas_nicobarica",-1.75369450191174,0.576999377425294,0.407987175601045,-0.406791307429649
"Gallicolumba_beccarii",-2.16074724008452,1.30679007920541,0.278670653630786,0.565894180792669
"Patagioenas_fasciata",0.134485023317568,0.829124948587006,1.38998070726597,-1.15535782756737
"Columba_livia",1.73079229014917,0.598867416986909,-0.154354888610659,0.705165535642287
"Columbina_picui",-0.30675301093733,0.996141438644,0.0718271895077158,-1.35632997416452
"Pygoscelis_adeliae",-1.78250446636393,-1.04169119077202,-0.171675020191871,0.0184567438607357
"Aptenodytes_forsteri",-2.57772587238613,-1.31811814309786,0.647912795917266,-0.573097701555109
"Scopus_umbretta",2.13510613572529,0.0908624706365326,-1.24077781230331,-1.3601457383998
"Anhinga_rufa",0.123409426413325,-1.75372648439748,-2.1695282646522,0.97686358627634
"Anhinga_anhinga",0.760737028702423,-0.274298336284677,-1.499838617553,-0.365984502298863
"Phalacrocorax_brasilianus",-0.705891773596914,-1.55899121840302,-1.30303059900064,0.521379876644708
"Phalacrocorax_carbo",1.54992099817129,0.538431970800086,-0.966670752868788,0.467200493149803
"Sula_dactylatra",1.032051881985,-2.04826133345945,-0.833474357119854,0.0735084705084417
"Fregata_magnificens",-2.32375208193581,-0.840120537716365,0.395666325684709,-0.253927108610246
"Mesembrinibis_cayennensis",2.54638680982633,1.34134182662447,-0.229952555004756,-0.540439052255219
"Nipponia_nippon",-0.00993909735715695,-0.623562576027132,-0.803900940562368,0.649534127770065
"Ciconia_maguari",0.427451713610441,-3.28054913739003,-2.52272134937213,0.657448961763288
"Gavia_stellata",-2.18419642458925,-0.878652443926944,0.249710619704531,-0.179203396340365
"Egretta_garzetta",-1.43197586580841,-1.41661560884533,-0.545065824834276,0.113188383733391
"Cochlearius_cochlearius",0.831523705846553,-0.292937394437372,-1.57384949144708,-0.327779867943038
"Pelecanoides_urinatrix",-0.22249602160867,-1.18704432165974,-0.472526834516285,-1.33635717721279
"Calonectris_diomedea",1.73167565512629,-2.3097311824568,-0.836321362002554,0.0827218895557809
"Oceanites_oceanicus",-0.112824782331145,-1.14494914843791,-1.90919718660343,1.03203020984643
"Opisthocomus_hoazin",-1.46848114612828,-0.255336743916832,-0.478796174577628,0.478374627998021
