"","PC1","PC2","PC3","PC4"
"Sapayoa_aenigma",-2.65915177585916,2.60787333853899,-0.370847301235323,-1.29745180278136
"Calyptomena_viridis",-1.75520950806416,1.65888550678113,1.51182188500789,-0.283527822084582
"Smithornis_capensis",-1.6793222941341,4.44782926421749,1.02136637101283,-1.18309133149307
"Pitta_sordida",0.563316854985719,0.877353426316281,0.160663558441501,-0.513074747738493
"Serilophus_lunatus",0.144999809145829,1.14595626533183,0.91993170111957,0.823384139070937
"Neodrepanis_coruscans",-1.50502032321683,0.999799765145655,-0.585425898324313,-1.64073137960283
"Oxyruncus_cristatus",3.22507460563266,-4.87343834010962,0.0430048104147229,-2.11845920245111
"Tachuris_rubrigastra",-2.84879454471582,0.426338614285904,0.773551400092929,-0.682450159326484
"Mionectes_macconnelli",-2.97148302031858,-0.392020626940026,0.905449697486236,-0.320647044157223
"Neopipo_cinnamomea",-2.81862349909173,-0.990602518295159,2.07749060202537,-0.596011743367163
"Tyrannus_savana",-4.0004507665202,0.365847017787728,-0.296861261760361,-0.685740962037356
"Piprites_chloris",-1.33938431252047,1.5057425606578,2.11241698303228,-0.752855717186433
"Pachyramphus_minor",-2.79976150630316,-1.51896329526359,0.253017929969144,-0.317389706194064
"Onychorhynchus_coronatus",2.3679923317351,-1.98274609683463,0.0382295531466426,-0.714044564931602
"Cephalopterus_ornatus",5.07414542537544,-0.418676379783785,3.69453105090753,-1.3872477511547
"Manacus_manacus",-3.88482059752414,-0.00740996575405095,-1.60094977188401,-1.08245450773907
"Lepidothrix_coronata",-3.87439554383895,0.904472782647062,-0.793890355683808,0.0978190228415434
"Sakesphorus_luctuosus",-1.81321657805934,0.777739947288372,1.86918386676629,-1.10894520445997
"Hypocnemis_ochrogyna",-1.1340622178774,0.833606653546815,-0.244141704772717,-1.82702256522944
"Rhegmatorhina_hoffmannsi",-1.8219035197823,-0.776779198735702,0.533295629339625,-0.803719534193299
"Furnarius_figulus",-1.28816203060232,0.352869904651711,-0.40849271889154,-0.657865632163644
"Campylorhamphus_procurvoides",-2.64436334210483,0.396476583391658,1.71521294250488,-0.0535070876495355
"Xiphorhynchus_elegans",-3.72958008468665,1.74221800090333,0.33343788589413,-0.997650565045068
"Sclerurus_mexicanus",-1.55574154004979,-0.0539632256351276,0.322719804607591,-0.812924340641908
"Formicarius_rufipectus",1.82906845627575,2.23893520096123,1.63093007676852,-0.00802140840122854
"Scytalopus_superciliaris",-0.614451616945588,0.0414744781469598,-0.33284097436544,0.778175880657369
"Grallaria_varia",-0.174851775476229,3.07215393407508,3.26084983414053,-1.05849465978801
"Menura_novaehollandiae",-4.04242361103357,-1.27699750396853,1.38057761787602,-0.292072142008549
"Atrichornis_clamosus",-4.4747664198607,-1.80673286498457,0.711109404586698,-0.489428805737292
"Ptilonorhynchus_violaceus",-6.63996451987848,-1.2228946507192,1.63810831056132,-2.05188838210262
"Climacteris_rufus",-3.38921855696935,-0.00979566476830734,2.14859906584327,-0.850882848634878
"Pardalotus_punctatus",1.12895877149687,2.94264922687417,1.06249421158001,0.556057571318083
"Grantiella_picta",-1.86629272579293,-0.481850161466085,0.843185937871497,-1.23480031437338
"Origma_solitaria",-0.467745293454251,-1.05307897235228,-0.65512029929666,-1.25779572296736
"Dasyornis_broadbenti",-3.36055599527446,-1.55232265071659,0.0436334583486927,-0.176785745410531
"Malurus_elegans",-5.16937498842458,-0.329828723506275,0.609896021145,-0.981534830903235
"Pomatostomus_ruficeps",-3.15460616276125,-0.412883223983022,0.902879891302224,-0.0657919692098632
"Orthonyx_spaldingii",-4.54012639951267,1.13144091416353,0.976230119963789,-0.994830528385835
"Notiomystis_cincta",-2.19485855021789,-1.5193395402982,-1.59424867817289,0.682515157373065
"Cnemophilus_loriae",3.42227688432483,-1.01677291215239,1.58414278152666,-0.850855353835902
"Callaeas_cinereus",-3.42274107580722,-1.72501787071588,2.42593073047478,-1.30299013963569
"Melanocharis_versteri",-1.72804483432339,0.566978004911775,-3.04434585701971,1.01194157131977
"Rhagologus_leucostigma",-2.99058999380336,-1.34628933288549,1.18718231701477,-0.0567899786048558
"Gymnorhina_tibicen",-3.6177284353042,-0.0645061611669306,2.65603052877138,0.18999796652275
"Artamus_cinereus",-3.65834001495277,-0.310397700500005,-0.287086355234712,-0.847191378606939
"Machaerirhynchus_nigripectus",-3.21839948403523,-0.485960199106604,-0.374582762956914,-0.476227606829233
"Platysteira_castanea",2.46337678991068,0.716201513902307,1.06754407980009,0.19231051572992
"Mystacornis_crossleyi",0.886757551894977,-1.0594931004742,1.19775694627752,-0.515288280390803
"Dryoscopus_gambensis",-3.1507029103304,-1.19017764336314,0.127889214233995,-0.12698055206242
"Aleadryas_rufinucha",-0.478824908555369,0.828760095826578,-0.784039997922813,-0.420719804488833
"Coracina_coerulescens",-4.19820886409214,-1.35461281307932,0.644698168590072,-0.638354792956632
"Falcunculus_frontatus",-0.138996373828088,0.168450308394934,1.34405528572701,-2.14148800593818
"Eulacestoma_nigropectus",2.61126013490962,1.28033204077839,2.58667531341543,0.0480745185236306
"Mohoua_ochrocephala",-2.45219495047294,0.348711510772137,0.887652170963366,-0.578804046762438
"Ptilorrhoa_leucosticta",-1.91768822000921,4.29376554943835,1.61716626588755,-2.34515393694036
"Psophodes_occidentalis",-1.60850462391624,0.0909285144872094,-0.0377204964915184,0.194724979676188
"Erpornis_zantholeuca",-2.72100503869878,0.17971055385062,0.265004510771916,0.420733516235244
"Vireo_altiloquus",-1.950918078099,-0.826287564861275,-0.360854064135604,0.586345175495829
