"","PC1","PC2","PC3","PC4","PC5","PC6"
"Eudromia_elegans",1.74558030048435,1.10080080720043,1.31943867081457,1.50328257262026,0.962185480281937,0.990090807009452
"Nothoprocta_pentlandii",6.38020771688568,10.6167731579879,0.793730296131787,0.623543026175846,1.77582454218842,0.516144019266028
"Crypturellus_cinnamomeus",5.97523320355791,2.8697556365936,0.951707464308589,0.0372880682341862,0.32398185952522,1.22507702556705
"Crypturellus_soui",5.74323125326468,1.20074763138625,0.780527645547861,0.574703264668049,2.15914433071244,2.82661356011218
"Nothocercus_julius",21.6375736190393,0.0473072746321412,13.5515995876241,3.14655935509736,1.44493801533628,3.02069227290208
"Tinamus_guttatus",0.874836074659929,4.2951950002781,1.3205252586424,2.79370752816935,3.14214087334859,0.935995237561158
"Struthio_camelus",4.15366860710399,6.99875872860795,3.00254516695648,2.9155126984527,4.47815893339786,3.1209453636786
"Apteryx_mantelli",12.2812965244456,0.255807508214299,1.76546028764552,1.88791059100349,5.29811601907362,0.900027936862139
"Apteryx_australis",8.24668246681073,3.73871746821249,2.37548919825536,2.86376719206476,2.59091964911737,1.44773648155046
"Apteryx_haastii",4.12806859850325,1.12255447729019,1.14822232811107,5.67935166236716,0.554492386817946,4.33052147539039
"Apteryx_owenii",6.72031364840912,0.938288604323668,7.09491675904512,1.73094673417741,5.18506351601567,0.686003224651451
"Dromaius_novaehollandiae",6.93424800889274,6.51214082655128,2.47695563871343,2.0305613956542,3.95896154717626,0.344234378894581
"Casuarius_casuarius",1.73061086983617,6.93831118861629,1.88595402168451,2.60320136199846,0.981373007779976,0.0702838423416635
"Rhea_pennata",1.6076610790427,7.66976729501353,0.158631318111841,6.62633593734181,5.0758483204711,4.99969548006688
"Rhea_americana",3.23533082659557,7.09759850676624,1.18057867922302,3.32386951477724,0.994056590341419,0.334904703561251
"Anseranas_semipalmata",3.82363252223158,0.0670977239253475,3.59740249194465,0.438683028479269,2.77431424664909,1.06465119060481
"Cairina_moschata",8.00477781136236,2.66489264786783,2.32482469954737,1.25520132999405,4.9190853183041,0.561162197193002
"Anas_platyrhynchos",9.50179928026578,1.70067893859248,0.0183692930395269,1.9644104036859,2.39900684889184,0.738752998781708
"Chauna_torquata",3.16393153277994,1.39340670611011,3.56515997385001,2.21305836376834,0.726315626415707,0.29327014674443
"Callipepla_squamata",2.67448253833954,1.02585157848696,2.90345203331101,2.13048555932827,0.549340607956132,0.377410197340271
"Colinus_virginianus",2.10167657158696,2.95373893626559,0.0230665723116775,4.12364137246852,0.227256182878898,0.737218557604246
"Odontophorus_gujanensis",19.1936000643267,4.66521747561765,6.30797468557492,4.28519181232223,2.16915792316608,0.878342274560137
"Gallus_sonneratii",1.46908041410337,1.60672437223572,4.49587825234524,2.18413522439283,0.809199656229198,0.459133152462601
"Meleagris_gallopavo",4.57462491992597,0.316011560860927,0.86977012403665,0.65001879276053,2.30135721750787,3.68694746605967
"Tympanuchus_cupido",0.432169690516989,6.11375121148556,3.95452847009163,0.870454870251371,1.12430794053955,1.5922545235419
"Phasianus_colchicus",1.9833276375915,0.515472850130519,4.01336606890155,0.443000471831567,0.864963829492626,0.395578368795682
"Coturnix_japonica",1.23680890234668,3.49710029699758,3.62710302089361,2.26970097868876,0.367213510831768,0.951762049372897
"Numida_meleagris",2.92886211586677,0.83134624514187,3.66654731836874,3.66026288624959,0.290477691999285,0.763989225866363
"Penelope_pileata",5.29569810508495,2.3472478772522,0.50234457098769,1.1805174561959,1.85188110395843,1.14005334786596
"Alectura_lathami",0.167490185750405,5.95207286903161,1.45966715779654,2.29653100683837,0.20877009542563,1.06156095661011
"Pterocles_burchelli",10.1240644120705,0.261576984403209,1.55432818603314,1.27965660666088,5.39029642076011,1.97375346217231
"Pterocles_gutturalis",5.46631610621699,10.8842248846567,8.3761212213787,2.13231477925455,3.17760456108887,0.431383840042775
"Syrrhaptes_paradoxus",2.97463466950883,2.53813124090378,0.879890682484407,1.84811337603723,2.05571656322405,1.68311372429571
"Columba_livia",1.56929843952132,4.96217068791703,4.31922996686041,0.507456698106175,1.44944445548127,2.01868786324293
"Patagioenas_fasciata",6.54336534478357,6.45561398016347,0.587000125868045,2.17854764792279,3.18407697678034,0.115252199761017
"Caloenas_nicobarica",2.1239589758095,6.46361078446798,0.622760335164076,3.91894426531212,0.760768224943714,1.51146512566151
"Columbina_picui",3.02154138402817,5.59056365084753,2.34262087220103,3.81989166623744,2.59851362593144,0.843824134918533
"Mesembrinibis_cayennensis",7.95392360046727,4.04621250529111,1.65498530412635,1.36133303442315,0.694639626076461,2.99657094298553
"Nipponia_nippon",4.19669101167797,1.49895912490017,1.76789526505323,0.275334673817072,0.646092103206066,0.363405669138248
"Ciconia_maguari",6.97613336597599,7.23878089465389,4.46643614578796,5.356201399532,9.10620779305701,1.07269209705405
"Gavia_stellata",5.78062970100986,1.84764090759054,0.159533729305953,1.07296938801644,1.09275811794154,2.49891422107806
"Cochlearius_cochlearius",1.10791270800409,1.80849693996224,0.92290143953044,2.54873429209394,0.0642439580793078,1.92145140339323
"Egretta_garzetta",6.32038185938031,1.34871028853506,0.564901218180481,1.30788856197581,0.662578088053397,1.67572820559823
"Anhinga_rufa",9.35862199687176,4.32914791527685,1.04540913065182,0.556384511259098,4.42804249672934,1.21335381765759
"Anhinga_anhinga",1.23738069967673,0.541270092159181,1.69253111270932,1.81069079870368,1.07377819966408,1.67214317667539
"Phalacrocorax_brasilianus",7.31970159160581,1.14645717555296,1.72135333430704,1.48828399706614,3.50010214562354,0.264933892119162
