"","species","Annotated","Number of samples","Observer","HM4.Order","HM4.Family","HM4.Latin.name","HM4.Common.name","HM4.Subspecies","No_notes_in_call_bout.song","No_of_Note_Types","IntraIndiv_variation","IntraSpecific_variation","Single.Note.Song.Pace","Note_Min_Freq_Average","Note_Min_Freq_Variance","Note.Max.Freq.Average","Note.Max.Freq.Variance","Note_Length_Average","Note_Length_Variance","Note_Bandwidth_Average","Note.Bandwidth.Variance","Note_Peak_Freq_Average","Note.Peak.Freq.Variance","Song_Peak_Freq","Song_Min_Freq","Song_Max_Freq","Duration.1st.note","Max.Freq.1st.note","Song.Bandwidth","Note.Count","Song.Duration","Duration.middle.note","Max.freq.middle.note","Duration.Final.Note","Max.Freq.Final.Note","Duration.longest.note","Note_Slope_Average","Note.Slope.Variance","Max.Note.Slope","Pause.Length.Average","Pause.Length.Variance","Note.Slope.first.note","Note.Slope.middle.note","Note.Slope.final.note","Duration.longest.pause","Pace1","Pace2","Pace3","Pace_Change_1","Pace_Change_2","Note_Rate","Freq_Change_1","Freq_Change_2","Dur_change_1","Dur_Change_2","Note_Slope_Ch1","Note_Slope_Ch2","Note_5._Freq","Note_95._Freq","Song_Min_Freq_5","Song_Max_Freq_95","Song.Freq.5..Variance","Song.Freq.95..Variance","Note_Bandwidth_90","Note.Bandwidth.90..Variance","Song_Bandwidth2","Note_Slope_2_Average","Note.Slope.2.Variance","Note_Slope_2_Max","X95..Freq1","X95..Freq2","X95..Freq3","X90..Bandwidth1","X90..Bandwidth2","X90..Bandwidth3","Peak.Freq1","Peak.Freq2","Peak.Freq3","Note.Slope1","Note.Slope2","Note.Slope3","Max.Power1","Max.Power2","Max.Power3"
"1","Acanthisitta chloris","yes",6,"CA","Passeriformes","Acanthisittidae","Acanthisitta chloris","Rifleman",NA,1,1,"NA",NA,"2.18761861867233",9563.7,0,10946.2333333333,0,0.0731666666666667,0,1382.56666666667,0,10418.0666666667,0,10418.0666666667,9563.7,10946.2333333333,0.0731666666666667,10946.2333333333,1382.53333333333,1,0.0731666666666667,0.0731666666666667,10946.2333333333,0.0731666666666667,10946.2333333333,0.0731666666666667,26809.5204645621,0,26809.5204645621,"NaN","NaN",26809.5204645621,26809.5204645621,26809.5204645621,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,10060.0166666667,10790.5,10060.0166666667,10790.5,0,0,730.483333333333,0,730.483333333333,12824.4210686134,0,12824.4210686134,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"2","Aegotheles bennettii","yes",1,"CW+JT","Caprimulgiformes","Aegothelidae","Aegotheles bennettii","Barred Owlet-nightjar","bennettii",1,1,"NA","NA","0.308008213552361",1111.2,0,2810.7,0,0.271,0,1699.5,0,1808.8,0,1808.8,1111.2,2810.7,0.271,2810.7,1699.5,1,0.271,0.271,2810.7,0.271,2810.7,0.271,6271.21771217712,0,6271.21771217712,"NaN","NaN",6271.21771217712,6271.21771217712,6271.21771217712,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1593.5,2411.7,1593.5,2411.7,0,0,818.3,0,818.2,3019.55719557196,0,3019.55719557196,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"3","Alca torda","yes",3,"JT","Charadriiformes","Alcidae","Alca torda","Razorbill",NA,1,1,NA,NA,"0.942638779220887",315.166666666667,0,2094.56666666667,0,0.595666666666667,0,1779.36666666667,0,1153.23333333333,0,1153.23333333333,315.166666666667,2094.56666666667,0.595666666666667,2094.56666666667,1779.4,1,0.595666666666667,0.595666666666667,2094.56666666667,0.595666666666667,2094.56666666667,0.595666666666667,3232.29565274359,0,3232.29565274359,"NaN","NaN",3232.29565274359,3232.29565274359,3232.29565274359,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,504.2,1725,504.2,1725,0,0,1220.8,0,1220.8,2366.86923117949,0,2366.86923117949,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"4","Alopecoenas beccarii","yes",4,"JT","Columbiformes","Columbidae","Alopecoenas beccarii","Bronze Ground Dove",NA,1,1,NA,NA,"1.682283257",400.6,0,562.35,0,0.19,0,161.8,0,506.05,0,506.05,400.6,562.35,0.19,562.35,161.75,1,0.19,0.19,562.35,0.19,562.35,0.19,886.587906775,0,886.587906775,"NaN","NaN",886.587906775,886.587906775,886.587906775,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,452.2,549.075,452.2,549.075,0,0,96.875,0,96.875,520.496027675,0,520.496027675,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"5","Anas platyrhynchos","yes",5,"CW+JT","Anseriformes","Anatidae","Anas platyrhynchos","Mallard","domestica",1,1,"0","NA","1.56069549120003",1959.56,0,2791.42,0,0.126,0,831.84,0,2394.5,0,2394.5,1959.56,2791.42,0.126,2791.42,831.86,1,0.126,0.126,2791.42,0.126,2791.42,0.126,7531.27601245351,0,7531.27601245351,"NaN","NaN",7531.27601245351,7531.27601245351,7531.27601245351,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2127.46,2652.9,2127.46,2652.9,0,0,525.44,0,525.44,4696.97115434299,0,4696.97115434299,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"6","Anser cygnoid","yes",1,"JT","Anseriformes","Anatidae","Anser cygnoid","Swan Goose",NA,1,1,NA,NA,"1.434205809",1133,0,2375,0,0.094,0,1241.9,0,1359.4,0,1359.4,1133,2375,0.094,2375,1242,1,0.094,0.094,2375,0.094,2375,0.094,13211.70213,0,13211.70213,"NaN","NaN",13211.70213,13211.70213,13211.70213,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1312.5,1968.8,1312.5,1968.8,0,0,656.2,0,656.3,6980.851064,0,6980.851064,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"7","Aptenodytes forsteri","yes",1,"JT","Sphenisciformes","Spheniscidae","Aptenodytes forsteri","Emperor Penguin",NA,1,1,NA,NA,"0.270635995",746.1,0,1187.6,0,0.636,0,441.6,0,1076.7,0,1076.7,746.1,1187.6,0.636,1187.6,441.5,1,0.636,0.636,1187.6,0.636,1187.6,0.636,694.3396226,0,694.3396226,"NaN","NaN",694.3396226,694.3396226,694.3396226,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,818.3,1119.7,818.3,1119.7,0,0,301.5,0,301.4,474.0566038,0,474.0566038,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"8","Aquila chrysaetos","yes",5,"JT","Accipitriformes","Accipitridae","Aquila chrysaetos","Golden Eagle",NA,1,1,NA,NA,"3.44599569125863",843.86,0,1607.28,0,0.0924,0,763.4,0,1417.22,0,1417.22,843.86,1607.28,0.0924,1607.28,763.42,1,0.0924,0.0924,1607.28,0.0924,1607.28,0.0924,8574.36253535999,0,8574.36253535999,"NaN","NaN",8574.36253535999,8574.36253535999,8574.36253535999,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1199.08,1504.12,1199.08,1504.12,0,0,305.04,0,305.04,3119.48648134155,0,3119.48648134155,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"9","Asarcornis scutulata","yes",1,"JT","Anseriformes","Anatidae","Asarcornis scutulata","White-winged Duck",NA,1,1,NA,NA,"1.11495149960977",1093.9,0,1355.8,0,0.441,0,261.9,0,1248.9,0,1248.9,1093.9,1355.8,0.441,1355.8,261.9,1,0.441,0.441,1355.8,0.441,1355.8,0.441,593.877551020408,0,593.877551020408,"NaN","NaN",593.877551020408,593.877551020408,593.877551020408,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1205.9,1292,1205.9,1292,0,0,86.1,0,86.0999999999999,195.238095238095,0,195.238095238095,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"10","Buceros rhinoceros","yes",6,"CW+JT","Bucerotiformes","Bucerotidae B (hornbills)","Buceros rhinoceros","Rhinoceros Hornbill","silvestris",1,1,"0","NA","0.680790512918352",763.7,0,1387.75,0,0.281333333333333,0,624.066666666667,0,1069.1,0,1069.1,763.7,1387.75,0.281333333333333,1387.75,624.05,1,0.281333333333333,0.281333333333333,1387.75,0.281333333333333,1387.75,0.281333333333333,2113.73250191566,0,2113.73250191566,"NaN","NaN",2113.73250191566,2113.73250191566,2113.73250191566,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,909.266666666667,1273.05,909.266666666667,1273.05,0,0,363.783333333333,0,363.783333333333,1237.9550777044,0,1237.9550777044,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"11","Bucorvus abyssinicus","yes",1,"JT","Bucerotiformes","Bucorvidae","Bucorvus abyssinicus","Abyssinian Ground Hornbill",NA,1,1,NA,NA,"0.28883369",106.5,0,250.7,0,0.218,0,144.1,0,187.5,0,187.5,106.5,250.7,0.218,250.7,144.2,1,0.218,0.218,250.7,0.218,250.7,0.218,661.0091743,0,661.0091743,"NaN","NaN",661.0091743,661.0091743,661.0091743,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,140.6,234.4,140.6,234.4,0,0,93.8,0,93.8,430.2752294,0,430.2752294,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"12","Cairina moschata","yes",4,"JT","Anseriformes","Anatidae","Cairina moschata","Muscovy Duck",NA,1,1,NA,NA,"3.05905820412357",543.8,0,1536.1,0,0.135,0,992.3,0,850.575,0,850.575,543.8,1536.1,0.135,1536.1,992.3,1,0.135,0.135,1536.1,0.135,1536.1,0.135,8957.85590315558,0,8957.85590315558,"NaN","NaN",8957.85590315558,8957.85590315558,8957.85590315558,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,775.2,1335.075,775.2,1335.075,0,0,559.875,0,559.875,4958.76573605938,0,4958.76573605938,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"13","Calidris pugnax","yes",5,"JT","Charadriiformes","Scolopacidae","Calidris pugnax","Ruff",NA,1,1,NA,NA,"4.57447957819477",871.94,0,1241.12,0,0.0762,0,369.18,0,1078.56,0,1078.56,871.94,1241.12,0.0762,1241.12,369.18,1,0.0762,0.0762,1241.12,0.0762,1241.12,0.0762,6015.41109789907,0,6015.41109789907,"NaN","NaN",6015.41109789907,6015.41109789907,6015.41109789907,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,965.9,1179.54,965.9,1179.54,0,0,213.66,0,213.64,3549.18148795368,0,3549.18148795368,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"14","Cephalopterus ornatus","yes",2,"CW+JT","Passeriformes","Cotingidae","Cephalopterus ornatus","Amazonian Umbrellabird","monotypic",1,1,"NA","NA","0.101235067827495",127.95,0,285.4,0,0.924,0,157.5,0,215.3,0,215.3,127.95,285.4,0.924,285.4,157.45,1,0.924,0.924,285.4,0.924,285.4,0.924,169.767441854545,0,169.767441854545,"NaN","NaN",169.767441854545,169.767441854545,169.767441854545,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,172.3,258.4,172.3,258.4,0,0,86.1,0,86.1,93.2346723022727,0,93.2346723022727,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"15","Cepphus grylle","yes",3,"CW+JT","Charadriiformes","Alcidae","Cepphus grylle","Black Guillemot","islandicus",1,1,"0","NA","0.564473509395696",4265.8,0,4720.9,0,0.898333333333333,0,455.166666666667,0,4536.3,0,4536.3,4265.8,4720.9,0.898333333333333,4720.9,455.1,1,0.898333333333333,0.898333333333333,4720.9,0.898333333333333,4720.9,0.898333333333333,510.684173840123,0,510.684173840123,"NaN","NaN",510.684173840123,510.684173840123,510.684173840123,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,4407.13333333333,4593.76666666667,4407.13333333333,4593.76666666667,0,0,186.633333333333,0,186.633333333333,214.408621272029,0,214.408621272029,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"16","Cisticola juncidis","yes",6,"CA","Passeriformes","Cisticolidae","Cisticola juncidis","Zitting Cisticola",NA,1,1,"NA",NA,"1.70376799058076",4557.91666666667,0,7442.01666666667,0,0.0893333333333333,0,2884.11666666667,0,6824.91666666667,0,6824.91666666667,4557.91666666667,7442.01666666667,0.0893333333333333,7442.01666666667,2884.1,1,0.0893333333333333,0.0893333333333333,7442.01666666667,0.0893333333333333,7442.01666666667,0.0893333333333333,31911.710174431,0,31911.710174431,"NaN","NaN",31911.710174431,31911.710174431,31911.710174431,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,5463.8,7094.3,5463.8,7094.3,0,0,1630.48333333333,0,1630.5,18171.7617102281,0,18171.7617102281,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"17","Cnemophilus loriae","yes",2,"CW+JT","Passeriformes","Cnemophilidae","Cnemophilus loriae","Loria's Satinbird","loriae",1,1,"0","NA","0.258740159053712",2669.75,0,3255,0,0.3025,0,585.3,0,2971.6,0,2971.6,2669.75,3255,0.3025,3255,585.25,1,0.3025,0.3025,3255,0.3025,3255,0.3025,2141.99241767283,0,2141.99241767283,"NaN","NaN",2141.99241767283,2141.99241767283,2141.99241767283,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2842.4,3079.25,2842.4,3079.25,0,0,236.85,0,236.85,862.759322260023,0,862.759322260023,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"18","Crypturellus cinnamomeus","yes",7,"CW+JT","Tinamiformes","Tinamidae A","Crypturellus cinnamomeus","Thicket Tinamou","investigating",1.14285714285714,1.14285714285714,"0","NA","0.157177175100873",1211.47857142857,12.6405000000001,1469.32142857143,7.08050000000011,0.517,0.000604999999999997,257.85,0.760500000000002,1362.6,0,1362.6,1210.34285714286,1470.17142857143,0.509142857142857,1468.47142857143,259.828571428571,1.14285714285714,0.556142857142857,0.509142857142857,1468.47142857143,0.524857142857143,1470.17142857143,0.524857142857143,524.966456072674,4370.85876278818,546.085310118357,"0.0139999999999999","0",546.085310118357,546.085310118357,503.847602026991,0.00279999999999997,"NaN","NaN","NaN","NaN","NaN",3.74531835205993,1,1.00169298620003,1,"1.10731707317073",1,0.927106300527828,1300.54285714286,1412.35714285714,1300.54285714286,1412.35714285714,0,0,111.828571428571,0,111.814285714286,236.925829696815,1075.55555555556,247.402020173006,275.62,275.62,"0",17.22,17.22,"0",267.02,267.02,"0",84,54.6666666666667,"0",18.38,18.76,"0"
"19","Dicaeum eximium","yes",2,"CW+JT","Passeriformes","Dicaeidae","Dicaeum eximium","Red-banded Flowerpecker","eximium",1,1,"0","NA","3.66739410217671",6821.7,0,7322,0,0.034,0,500.25,0,7019.85,0,7019.85,6821.7,7322,0.034,7322,500.3,1,0.034,0.034,7322,0.034,7322,0.034,23097.2222222222,0,23097.2222222222,"NaN","NaN",23097.2222222222,23097.2222222222,23097.2222222222,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,6869.1,7213.65,6869.1,7213.65,0,0,344.5,0,344.55,15493.3862433862,0,15493.3862433862,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"20","Dromaius novaehollandiae","yes",4,"CW+JT","Casuariiformes","Casuariidae B (emu)","Dromaius novaehollandiae","Emu","novaehollandiae",1,1,"0","NA","2.00212755494814",24.725,0,279.8,0,0.2525,0,255.125,0,144.725,0,144.725,24.725,279.8,0.2525,279.8,255.075,1,0.2525,0.2525,279.8,0.2525,279.8,0.2525,1515.95324227156,0,1515.95324227156,"NaN","NaN",1515.95324227156,1515.95324227156,1515.95324227156,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,89,189.7,89,189.7,0,0,100.725,0,100.7,586.325155018707,0,586.325155018707,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"21","Dulus dominicus","yes",4,"CW+JT","Passeriformes","Dulidae","Dulus dominicus","Palmchat","monotypic",1,1,"NA","NA","1.21219232890746",1166.575,0,6024.4,0,0.326,0,4857.825,0,3941.6,0,3941.6,1166.575,6024.4,0.326,6024.4,4857.825,1,0.326,0.326,6024.4,0.326,6024.4,0.326,16421.9571642126,0,16421.9571642126,"NaN","NaN",16421.9571642126,16421.9571642126,16421.9571642126,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2624.8,5135.55,2624.8,5135.55,0,0,2510.75,0,2510.75,8883.61783790743,0,8883.61783790743,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"22","Dyaphorophyia castanea","yes",4,"CA","Passeriformes","Platysteiridae","Dyaphorophyia castanea","Chestnut Wattle-eye",NA,1,1,"NA",NA,"1.43789123051617",1138.725,0,1649.15,0,0.0985,0,510.425,0,1378.15,0,1378.15,1138.725,1649.15,0.0985,1649.15,510.425,1,0.0985,0.0985,1649.15,0.0985,1649.15,0.0985,6049.74684440522,0,6049.74684440522,"NaN","NaN",6049.74684440522,6049.74684440522,6049.74684440522,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1216.625,1539.625,1216.625,1539.625,0,0,322.975,0,323,3931.86557973043,0,3931.86557973043,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"23","Egretta garzetta","yes",10,"CW+JT","Pelecaniformes","Ardeidae A","Egretta garzetta","Little Egret","garzetta",1,1,"0","NA","0.852123071610704",1222,0,2023.5,0,0.5969,0,801.5,0,1503.08,0,1503.08,1222,2023.5,0.5969,2023.5,801.5,1,0.5969,0.5969,2023.5,0.5969,2023.5,0.5969,1523.0041564779,0,1523.0041564779,"NaN","NaN",1523.0041564779,1523.0041564779,1523.0041564779,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1334.48,1906.41,1334.48,1906.41,0,0,571.93,0,571.93,1091.61418111742,0,1091.61418111742,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"24","Eurypyga helias","yes",7,"CW+JT","Eurypygiformes","Eurypygidae","Eurypyga helias","Sunbittern","helias (?)",1,1,"0","NA","0.222288935234787",1446.88571428571,0,1728.5,0,1.13414285714286,0,281.614285714286,0,1586.82857142857,0,1586.82857142857,1446.88571428571,1728.5,1.13414285714286,1728.5,281.614285714286,1,1.13414285714286,1.13414285714286,1728.5,1.13414285714286,1728.5,1.13414285714286,259.39994891835,0,259.39994891835,"NaN","NaN",259.39994891835,259.39994891835,259.39994891835,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1537.04285714286,1674.02857142857,1537.04285714286,1674.02857142857,0,0,136.985714285714,0,136.985714285714,126.335808196779,0,126.335808196779,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"25","Eurystomus gularis","yes",4,"CW+JT","Coraciiformes","Coraciidae","Eurystomus gularis","Blue-throated Roller","gularis",1,1,"0","NA","0.749381631896386",2198.325,0,3071.475,0,0.2835,0,873.15,0,2748.775,0,2748.775,2198.325,3071.475,0.2835,3071.475,873.15,1,0.2835,0.2835,3071.475,0.2835,3071.475,0.2835,3109.55418348948,0,3109.55418348948,"NaN","NaN",3109.55418348948,3109.55418348948,3109.55418348948,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2360.525,2944.45,2360.525,2944.45,0,0,583.95,0,583.925,2067.77517664454,0,2067.77517664454,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"26","Fregata magnificens","yes",1,"CW+JT","Pelecaniformes","Fregatidae","Fregata magnificens","Magnificent Frigatebird","monotypic",1,1,"NA","NA","0.454789763095878",1756.4,0,2157,0,0.972,0,400.6,0,2067.2,0,2067.2,1756.4,2157,0.972,2157,400.6,1,0.972,0.972,2157,0.972,2157,0.972,412.139917695473,0,412.139917695473,"NaN","NaN",412.139917695473,412.139917695473,412.139917695473,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1981.1,2110.3,1981.1,2110.3,0,0,129.2,0,129.2,132.921810699588,0,132.921810699588,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"27","Galbula dea","yes",7,"CW+JT","Piciformes","Galbulidae","Galbula dea","Paradise Jacamar","dea",1,1,"0","NA","1.62403290960663",1120.74285714286,0,2133.51428571429,0,0.103857142857143,0,1012.77142857143,0,1987.22857142857,0,1987.22857142857,1120.74285714286,2133.51428571429,0.103857142857143,2133.51428571429,1012.77142857143,1,0.103857142857143,0.103857142857143,2133.51428571429,0.103857142857143,2133.51428571429,0.103857142857143,11208.457419943,0,11208.457419943,"NaN","NaN",11208.457419943,11208.457419943,11208.457419943,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1568.85714285714,2079.47142857143,1568.85714285714,2079.47142857143,0,0,510.657142857143,0,510.614285714286,6987.61986998142,0,6987.61986998142,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"28","Gavia stellata","yes",7,"CW+JT","Gaviiformes","Gaviidae","Gavia stellata","Red-throated Diver","monotypic",1,1,"0","NA","0.515676338556349",1351.95714285714,0,1788.01428571429,0,1.05057142857143,0,436.014285714286,0,1630.37142857143,0,1630.37142857143,1351.95714285714,1788.01428571429,1.05057142857143,1788.01428571429,436.057142857143,1,1.05057142857143,1.05057142857143,1788.01428571429,1.05057142857143,1788.01428571429,1.05057142857143,442.423479810875,0,442.423479810875,"NaN","NaN",442.423479810875,442.423479810875,442.423479810875,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1501.18571428571,1716.52857142857,1501.18571428571,1716.52857142857,0,0,215.314285714286,0,215.342857142857,221.108095242053,0,221.108095242053,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"29","Herpetotheres cachinnans","yes",6,"CW+JT","Falconiformes","Falconidae B (Herpetotheres)","Herpetotheres cachinnans","Laughing Falcon","cachinnans",1.33333333333333,1,"0","NA","1.21204099473967",914.016666666667,915.711999999999,1600.46666666667,100.352000000001,0.339333333333333,0.0023434,686.516666666667,464.128,1485.79166666667,185.3305,1485.8,899.083333333333,1604.2,0.313833333333333,1604.2,705.116666666667,1.33333333333333,0.534333333333334,0.313833333333333,1604.2,0.364833333333333,1596.73333333333,0.364833333333333,2060.64193005854,92190.2108755039,2211.20711780898,"0.228500000000001","0",2211.20711780898,2211.20711780898,1910.0767423081,0.0914000000000002,"NaN","NaN","NaN","NaN","NaN",2.12782787533618,1,0.994444788889578,1,"1.21856765280456",1,0.86649393371287,1349.41666666667,1536.05833333333,1342.23333333333,1543.23333333333,371.522,185.330500000001,186.616666666667,185.761,201,550.573371186481,12296.7974011198,592.63383165813,637.38,620.16,"0",77.52,77.52,"0",620.16,602.94,"0",282.094000178756,181.148895046798,"0",40.34,40.48,"0"
"30","Himantopus himantopus","yes",9,"CW+JT","Charadriiformes","Recurvirostridae","Himantopus himantopus","Black-winged Stilt","mexicanus",1,1,"0","NA","2.84711294143482",2370.9,0,3192,0,0.0783333333333333,0,821.077777777778,0,3000.96666666667,0,3000.96666666667,2370.9,3192,0.0783333333333333,3192,821.1,1,0.0783333333333333,0.0783333333333333,3192,0.0783333333333333,3192,0.0783333333333333,10444.3047836475,0,10444.3047836475,"NaN","NaN",10444.3047836475,10444.3047836475,10444.3047836475,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2638.12222222222,3097.52222222222,2638.12222222222,3097.52222222222,0,0,459.4,0,459.4,5904.43326092905,0,5904.43326092905,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"31","Jacana jacana","yes",9,"CW+JT","Charadriiformes","Jacanidae","Jacana jacana","Northern Jacana","hypomelaena",1,1,"NA","NA","4.10189384712503",2027.66666666667,0,2916.85555555556,0,0.112777777777778,0,889.188888888889,0,2582.94444444444,0,2582.94444444444,2027.66666666667,2916.85555555556,0.112777777777778,2916.85555555556,889.188888888889,1,0.112777777777778,0.112777777777778,2916.85555555556,0.112777777777778,2916.85555555556,0.112777777777778,10442.977635747,0,10442.977635747,"NaN","NaN",10442.977635747,10442.977635747,10442.977635747,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2247.13333333333,2828.67777777778,2247.13333333333,2828.67777777778,0,0,581.533333333333,0,581.544444444444,6989.91149569845,0,6989.91149569845,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"32","Melospiza melodia","yes",6,"CA","Passeriformes","Passerellidae","Melospiza melodia","Song Sparrow",NA,21.6666666666667,7.83333333333333,"NA",NA,NA,4161.724983,2262305.00891667,5466.390152,2662814.96216667,0.0829471563333333,0.00500530616666667,1304.655444,753560.4317,4834.715514,2739848.078,4860.95,2264.93333333333,8268.3,0.0993333333333333,5927.35,6003.36666666667,21.6666666666667,2.64733333333333,0.0661666666666667,5592.45,0.140666666666667,4777.18333333333,0.318,22961.7013483333,589721461.15,70634.140965,"0.040589978","0.00531241166666667",10841.3782278333,29213.274706,19381.381723,0.300833333333333,"6.89212159916667","13.1755679765","11.1034628043333","2.20052264716667","0.8984516235",8.33515494533333,0.996380575166667,0.933232539,0.991810051166667,"2.8741425535",7.17625346866667,1.3026213985,4570.36219466667,5230.90576833333,2596.1,8088.71666666667,2435826.02316667,2554109.9455,660.548831916667,248008.694396667,5492.61666666667,11500.1884651667,171433819.003667,42680.831355,5187.983135,5172.828373,"5283.31865066667",610.275297633333,673.180059516667,"690.47718255",4872.3593255,4714.043353,"4873.76626983333",10574.3601035,11969.729214,"11932.1716838333",92.6647817433333,93.747718255,"91.3178571433333"
"33","Numida meleagris","yes",7,"CW+JT","Galliformes","Numididae","Numida meleagris","Helmeted Guineafowl","investigating",2.28571428571429,2.28571428571429,"0","NA",NA,1558.11666666667,10234.7643055556,1900.52380952381,11383.0667592593,0.101571428571429,0.00890432407407407,342.395238095238,5999.9063888889,1740.09761904762,11564.4772685185,1802.62857142857,1489.47142857143,1984.17142857143,0.0391428571428571,1871.91428571429,494.7,2.28571428571429,0.388714285714286,0.0394285714285714,1871.91428571429,0.186285714285714,1918.11428571429,0.186285714285714,6630.8359150368,18990644.4225615,10556.6893941351,"0.136583333333333","0.00214537500000005",10143.976809101,9053.68190234524,2640.63958913496,0.168666666666667,"NaN","NaN","NaN","NaN","NaN",6.19854926174587,0.999787740184192,1.04360064879133,1.09434865900383,"6.74301840135174",0.955998487712144,0.188185091217379,1671.39761904762,1804.70238095238,1593.45714285714,1870.32857142857,12315.4320833333,9496.41310185185,133.3,1117.04861111111,276.871428571429,2572.68002883456,2908493.01042636,3978.32889633092,1686.76666666667,1801.63333333333,"1751.4",136.366666666667,114.833333333333,"143.566666666667",1629.36666666667,1758.55,"1665.23333333333",3864.77015029458,1749.82552552019,"762.572892206195",91.9166666666667,96.5666666666667,"102.733333333333"
"34","Nyctibius grandis","yes",6,"CW+JT","Caprimulgiformes","Nyctibiidae A","Nyctibius grandis","Great Potoo","grandis",1,1,"0","NA","0.124252583046459",270.6,0,957.6,0,1.16716666666667,0,687.033333333333,0,685.5,0,685.5,270.6,957.6,1.16716666666667,957.6,687,1,1.16716666666667,1.16716666666667,957.6,1.16716666666667,957.6,1.16716666666667,625.955796409544,0,625.955796409544,"NaN","NaN",625.955796409544,625.955796409544,625.955796409544,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,531.6,787.266666666667,531.6,787.266666666667,0,0,255.666666666667,0,255.666666666667,228.870572455122,0,228.870572455122,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
