"","PC1","PC2","PC3","PC4"
"Sapayoa_aenigma",-2.985148396344,1.83046914890965,1.09618887371724,0.332566676413951
"Calyptomena_viridis",-2.64404353821322,1.63638794674239,-0.198902388347185,0.252100717073453
"Smithornis_capensis",-3.54769745655291,2.90585712442905,1.26665937096064,0.700021519458982
"Pitta_sordida",-4.64835205749645,0.916794974243569,-0.589407296558161,0.128436584094646
"Serilophus_lunatus",-3.82036070674022,2.99332974535961,0.947762949984919,0.736642408294338
"Neodrepanis_coruscans",-3.19216242480497,-2.09738011083249,-0.0818869646568666,0.962478230470832
"Oxyruncus_cristatus",2.6569996505147,1.12695835370306,0.245894963279951,-1.10685245711841
"Tachuris_rubrigastra",1.28569233824963,-1.17480362825305,-0.0626634012727062,-0.403679589723458
"Mionectes_macconnelli",-0.0876796322803251,0.700014451574836,0.414685843620637,0.470620427835796
"Neopipo_cinnamomea",1.5593229807386,0.311269198182651,-0.115679907482436,0.544198973746937
"Tyrannus_savana",-3.05513368437042,1.24528457300776,0.518764211801238,0.370788248105019
"Piprites_chloris",-0.582588414187555,1.75027177423626,-0.276247400870041,0.364439208443866
"Pachyramphus_minor",-4.54288527461265,2.0447247344355,0.303860361166625,0.590768755802731
"Onychorhynchus_coronatus",-3.71687101029076,0.630004842628237,1.28600367890484,0.310348626084201
"Cephalopterus_ornatus",-11.414363264503,1.86972029301359,0.403589967884299,0.172855561620725
"Manacus_manacus",-0.258530236853835,1.75723638552569,0.0131968962452901,0.363259074986653
"Lepidothrix_coronata",0.758286314671546,1.2253223243177,-0.00441832446149909,0.530977915512587
"Sakesphorus_luctuosus",-4.26786195143545,0.622408784875018,-0.373773162301485,0.157816726857764
"Hypocnemis_ochrogyna",-0.930230616963117,0.507760002285562,-0.140757488423352,0.187378625935941
"Rhegmatorhina_hoffmannsi",-2.60178900892143,0.280249199534339,-0.197697925914709,0.344326031879989
"Furnarius_figulus",-1.93238638276048,-0.629122409988237,-0.662809336988296,0.69717114130804
"Campylorhamphus_procurvoides",-6.74574912451396,-4.08965649291163,-0.559283300126435,0.837496511103617
"Xiphorhynchus_elegans",-5.25264212836255,-0.797697628319899,-0.120095653693125,0.466824973064522
"Sclerurus_mexicanus",-2.74913847343326,-1.74656884279659,-0.473315410436653,0.607822308627941
"Formicarius_rufipectus",-4.13297913467588,0.410301206222965,-0.374810194873936,-0.351821177630111
"Scytalopus_superciliaris",1.09147783911099,0.691122923337026,-0.771850012647247,-0.510837179807548
"Grallaria_varia",-5.87396258723741,1.07918036582095,-0.909450252038434,0.0605545349176001
"Menura_novaehollandiae",-5.93614406619472,-0.256170578872668,-0.161943696938328,-1.0129766736857
"Atrichornis_clamosus",-1.34415636034109,0.114347945657527,-1.20237893859027,-0.653621410500984
"Ptilonorhynchus_violaceus",-7.11860262331854,1.5289565001544,-0.240469892989806,-0.432572015831828
"Climacteris_rufus",-1.02575227231446,-0.932060184953529,-0.215215627403407,-0.0704156357026637
"Pardalotus_punctatus",2.12832228841656,2.66112900605198,-0.596826158687002,0.566093640225959
"Grantiella_picta",-0.741781925039927,-0.0778364329514313,-0.470823086603657,0.0175104915261505
"Origma_solitaria",0.609016395698447,-0.475305867911688,-0.31325023497151,0.105792386673345
"Dasyornis_broadbenti",-2.79996886298978,0.356056873104172,-0.533167859830771,-0.497179833282804
"Malurus_elegans",1.19181194910787,-0.171975890748652,0.117524122558321,-0.369908418269846
"Pomatostomus_ruficeps",-4.00004957163565,-0.880967798152941,-1.2929234291948,0.283334253999469
"Orthonyx_spaldingii",-3.36415527393529,0.693177180107889,-0.755141355144555,-0.151076688939578
"Notiomystis_cincta",-1.25019662551835,-0.255808738828584,-0.317816307059022,-0.430804001458748
"Cnemophilus_loriae",-3.63646201232784,0.660040011835882,0.263825738827338,-0.353467401364584
"Callaeas_cinereus",-7.03432891262752,2.1364629277418,-0.566859201976669,-0.514387700265043
"Melanocharis_versteri",0.248253342304975,1.32924727147211,-0.504708735700917,-0.141428830975078
"Rhagologus_leucostigma",-1.89506016490965,0.762239161436275,-0.808323378393369,0.0906041321122691
"Gymnorhina_tibicen",-10.0794538286383,0.45487946202682,-0.424468546546927,-0.00449178722039873
"Artamus_cinereus",-4.02668094304283,0.990541816232632,-0.713570847957159,0.238962696187159
"Machaerirhynchus_nigripectus",-1.24780506786953,1.77944692689476,2.42457386776725,-0.171178708602855
"Platysteira_castanea",-1.54468277697753,1.08375545358975,0.630494230792394,0.0781540876613247
"Mystacornis_crossleyi",-2.2145428917654,-0.815715045446993,-0.381227646114078,0.29949101597289
"Dryoscopus_gambensis",-4.06891698842088,1.04903813333389,-0.492844290730473,0.0481937551829627
"Aleadryas_rufinucha",-3.25027652423083,1.02575761680037,-1.08163513293667,-0.0126083246320526
"Coracina_coerulescens",-5.54538219832374,1.31416768827445,0.0357165509642154,0.309759650907378
"Falcunculus_frontatus",-3.69134008894731,1.81291463355227,-2.06169752968343,-0.23029922793617
"Eulacestoma_nigropectus",-1.82266561282703,2.00714903364922,-2.03932330361155,-0.254649656527253
"Mohoua_ochrocephala",-0.81717860247458,1.02665088321493,-0.98706587626705,0.230043533763362
"Ptilorrhoa_leucosticta",-2.14887606043969,-0.538565411656195,-0.470147618430815,-0.019347566361433
"Psophodes_occidentalis",-1.8275754982699,1.41323157158852,-1.13665917741701,0.249669820087434
"Erpornis_zantholeuca",-0.242553440612852,0.25144559852031,-0.726422704785324,0.338032902825761
"Vireo_altiloquus",-2.2819949978895,-0.23144712656193,-0.375278476583278,0.153050197269389
