"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Eudromia_elegans",1.71318949697114,-4.97785313121238,-0.657227153814779,1.96141419364569,3.66052284297425,2.68340274339334,0.158606220649657,-0.107800956264226,-0.509940139001645
"Nothoprocta_pentlandii",5.24714534455605,-19.7619505219688,5.65373973772896,0.880489310150647,-2.81149442002117,4.03191992841576,1.85149433626465,-1.10612465090469,1.02910424259978
"Nothocercus_julius",-4.76735510774131,-9.41297734073698,2.62911858282805,-5.8061313240181,5.78453651256363,-1.78185101535397,-0.952177711410152,1.49108857401098,0.184575113507882
"Tinamus_guttatus",1.69981806379575,4.3538009524898,3.6211997074488,-1.21856001312379,8.11574744875955,2.83009409692206,-0.651453700171374,-0.544049392157619,0.208528560841102
"Crypturellus_cinnamomeus",6.87326068021137,0.992115771121498,0.235323236595026,1.91792749295846,3.26677009000768,-1.14067654268449,-0.746192158604967,-1.32538521649682,-0.0411575147366677
"Crypturellus_soui",8.82860463606114,-1.98244731825447,7.61169240189065,-8.53633481931817,6.28830079196835,4.0157068256769,0.180240247950812,0.298391864449444,0.283802797304082
"Apteryx_mantelli",-1.76154492853181,-7.79838391333041,-1.27515936622757,-7.43947024359315,6.01442596594499,-0.427025841354754,-0.437815277556184,0.530330121832724,-0.174532323462491
"Apteryx_australis",10.5717637700968,-12.1557182953316,6.34185016172839,-1.90169400757644,5.35076526819889,3.66834944846951,-0.455174248151353,-0.519932268934601,0.254702491849688
"Apteryx_owenii",1.34422990343907,-9.81534290924427,5.76496436496005,-3.05692353871359,5.35080298487346,-2.93204837848772,-0.271084231032817,0.710525595037199,-0.0876530706631486
"Apteryx_haastii",-0.949756589530407,-11.6919476567376,-6.47188913645152,5.99176718618716,3.2848359235431,1.21087063347096,0.152632506933882,0.970159364045186,-0.168975658104229
"Dromaius_novaehollandiae",-8.78949983152605,33.3601275567312,-2.68713196437791,1.98656963491165,-9.76426762994961,-1.03731522209384,-3.61039103598158,0.53400724159664,-0.173466417234003
"Casuarius_casuarius",-16.9822745444644,35.3971510078447,-4.34288878971675,0.305931632223067,-7.13648840633114,1.09425650580698,-4.73893851213715,0.412214827767434,0.486598056137886
"Rhea_americana",-9.83580897914011,35.587971572772,-3.95227193741691,2.52369874060139,-3.60151272848032,-2.2423508350885,-0.228208695786081,-0.623997260079272,0.644217335082434
"Rhea_pennata",-16.1499164025308,43.5463750880917,2.74965127105277,-10.1421082246105,-5.60156091739077,2.36339911003961,-5.6621756441252,0.238787090006563,-0.919746669431024
"Struthio_camelus",-8.98986212298725,29.8714452627965,-5.408062403815,-5.40130185588391,0.343411498258871,-2.6733537626989,-0.985165618910589,-1.4013916663188,0.161089965526643
"Anseranas_semipalmata",1.37167315979661,-4.58836754155867,-1.83731973730547,2.92145677157447,-4.5375618753996,-0.836527850983743,0.00323412610284829,-0.492522003183487,0.4687063953127
"Anser_cygnoides",6.83310373869079,-3.56371168498345,3.19859413083114,-0.445422490067387,-3.87679682398747,-0.694483090065527,2.00531101608652,0.4108617513295,2.17248894674547
"Anas_platyrhynchos",10.130858625278,-8.23820212078937,3.55778439913932,0.102726351989701,-0.330982295823737,-0.602656440678744,0.925840956662501,0.507461367864299,0.280541019539803
"Anas_poecilorhyncha",-0.946322508197089,-9.49917571944371,5.05315997114756,-0.0013461105036589,-0.192358898360703,-0.469051507950208,0.973859538619525,0.38594931678972,0.291290816525331
"Cairina_scutulata",7.68131239318157,3.11767291171165,1.86016466868875,-0.296085157325052,2.92365104982364,-1.08798431641694,-0.19470998565171,-0.589190900314503,0.130878334582567
"Cairina_moschata",2.63447982975221,3.09606075372085,1.13973592223311,2.32002233227623,-5.31247784975728,-1.10214726170744,1.13801492002753,-0.400749586471518,1.50962443586735
"Chauna_torquata",3.45778933993047,-3.01975613828238,-3.57842709695938,1.98529698026148,0.407162282224615,-0.641064436587195,0.286180581036949,-0.665051642389886,-0.53678066049894
"Odontophorus_gujanensis",-8.92871526118088,3.65938024378955,-5.77195987819505,-1.98393513767019,5.72688811563854,-0.586302529783746,-0.118834798803507,1.26206837081214,0.175950808206497
"Colinus_virginianus",0.837469222005272,-9.09116804498379,5.63107131994223,-1.06146220519134,-1.60747054733476,1.44206261912541,2.19171345753185,-0.834991029956874,0.0225181003048891
"Callipepla_squamata",4.52587669310343,-7.81361743693114,-1.53340691709467,-0.624384757107301,-0.457592259922177,-0.672015126699517,-0.0647558255003261,-0.62247730272301,-0.490998061565961
"Gallus_sonneratii",-1.48410347132308,-2.89646137127426,-4.0134275293026,-0.88013321072769,1.51049464087043,2.93781380508351,0.587662321310934,-0.146857959321505,-0.24394742246139
"Coturnix_japonica",3.43255665392026,-12.659652674393,-2.49499351356564,0.67992565629428,-1.64560752944473,-0.578749300692565,0.812785769849104,-0.586829801008715,0.529986015594629
"Meleagris_gallopavo",-6.48669223690763,-4.86231307272413,-2.23800296699054,4.36432404095142,-2.39699045997631,0.872636986878359,0.921229097996861,1.06237943210252,0.021859986620252
"Tympanuchus_cupido",-6.49776375120324,19.9670206025811,-4.03366289817882,-2.23615955928713,2.83381467947413,3.628157644253,0.861364716450796,-0.56975498682978,-0.38637113192591
"Phasianus_colchicus",-1.23598929613563,-5.1892639714749,-0.323108822599717,-0.529557698314077,-2.63288348366617,4.06816829704113,-0.0836358301597142,-0.289815676791095,-0.546076069603456
"Numida_meleagris",4.77812727655396,-5.75049441023373,-5.00580994719567,3.530222976849,1.90881585361515,-0.754929419188926,-0.499360395485578,-0.939908090718748,-0.0615984080462599
